,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Source
192,193,a,a,520,-1,-1,0,,,,3
193,194,d,c,16970,-1,-1,1,5.0,2013.0,"Feb,May,Aug,Nov",3
194,195,a,c,220,-1,-1,0,,,,3
195,196,c,a,3850,11,2005,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
196,197,c,a,4210,3,2015,0,,,,3
197,198,a,a,290,9,2002,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
198,199,d,c,6360,12,2010,1,14.0,2012.0,"Mar,Jun,Sept,Dec",3
199,200,a,a,1650,10,2000,0,,,,3
200,201,d,a,20260,-1,-1,1,18.0,2014.0,"Mar,Jun,Sept,Dec",3
201,202,d,c,5140,5,2010,0,,,,3
202,203,c,c,490,11,2002,0,,,,3
203,204,a,a,5630,12,2002,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
204,205,a,a,110,12,2007,0,,,,3
205,206,a,c,380,-1,-1,1,14.0,2012.0,"Jan,Apr,Jul,Oct",3
206,207,a,a,6870,-1,-1,0,,,,3
207,208,c,a,300,4,2006,0,,,,3
208,209,a,c,11680,9,2011,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
209,210,d,a,970,11,1999,1,5.0,2013.0,"Feb,May,Aug,Nov",3
210,211,a,c,350,11,2006,0,,,,3
211,212,a,c,15050,9,2008,0,,,,3
212,213,d,c,4030,3,2014,1,1.0,2014.0,"Jan,Apr,Jul,Oct",3
213,214,d,a,8650,7,2013,1,10.0,2014.0,"Jan,Apr,Jul,Oct",3
214,215,d,a,150,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
215,216,c,a,190,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
216,217,c,a,3150,-1,-1,0,,,,3
217,218,a,c,640,-1,-1,1,9.0,2011.0,"Mar,Jun,Sept,Dec",3
218,219,a,a,1640,2,2013,0,,,,3
219,220,a,a,1000,9,2008,0,,,,3
220,221,d,c,13530,9,2013,0,,,,3
221,222,a,a,2170,11,2008,0,,,,3
222,223,d,c,2920,10,1995,1,27.0,2011.0,"Jan,Apr,Jul,Oct",3
223,224,d,c,7930,-1,-1,1,1.0,2013.0,"Jan,Apr,Jul,Oct",3
224,225,d,a,10180,5,2015,0,,,,3
225,226,a,a,450,-1,-1,0,,,,3
226,227,a,a,2370,-1,-1,0,,,,3
227,228,d,c,10800,-1,-1,1,18.0,2011.0,"Feb,May,Aug,Nov",3
228,229,d,c,17410,4,2007,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
229,230,d,c,6680,9,2013,0,,,,3
230,231,d,c,3840,10,2008,1,39.0,2010.0,"Feb,May,Aug,Nov",3
231,232,c,c,13570,5,2010,1,10.0,2013.0,"Mar,Jun,Sept,Dec",3
232,233,a,a,1890,-1,-1,0,,,,3
233,234,d,a,4370,-1,-1,0,,,,3
234,235,a,a,5710,3,2012,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
235,236,a,a,1000,11,2007,0,,,,3
236,237,a,a,1420,11,2007,0,,,,3
237,238,a,a,320,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
238,239,d,c,610,-1,-1,0,,,,3
239,240,a,a,1110,5,2009,0,,,,3
240,241,d,c,780,-1,-1,0,,,,3
241,242,d,a,6880,9,2001,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
242,243,a,a,310,-1,-1,1,5.0,2013.0,"Feb,May,Aug,Nov",3
243,244,d,a,710,3,2012,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
244,245,a,c,1310,-1,-1,0,,,,3
245,246,c,a,4660,4,2013,0,,,,3
246,247,d,c,70,11,2010,1,5.0,2013.0,"Feb,May,Aug,Nov",3
247,248,a,c,340,9,2012,1,40.0,2012.0,"Jan,Apr,Jul,Oct",3
248,249,d,c,18010,9,2014,0,,,,3
249,250,d,a,3520,-1,-1,1,18.0,2012.0,"Feb,May,Aug,Nov",3
250,251,a,c,340,-1,-1,0,,,,3
251,252,d,c,22330,-1,-1,1,5.0,2010.0,"Feb,May,Aug,Nov",3
252,253,a,c,250,-1,-1,1,5.0,2013.0,"Feb,May,Aug,Nov",3
253,254,d,a,330,3,2008,1,1.0,2012.0,"Mar,Jun,Sept,Dec",3
254,255,c,c,4630,3,2011,1,35.0,2011.0,"Feb,May,Aug,Nov",3
255,256,a,c,80,9,2005,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
256,257,a,a,420,12,2012,0,,,,3
257,258,a,a,27190,7,2010,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
258,259,b,b,210,-1,-1,0,,,,3
259,260,a,a,540,10,2011,0,,,,3
260,261,d,c,15340,4,2015,1,39.0,2009.0,"Jan,Apr,Jul,Oct",3
261,262,b,a,1180,5,2013,0,,,,3
262,263,a,c,1140,5,2013,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
263,264,a,a,180,3,2014,0,,,,3
264,265,a,a,4580,-1,-1,1,14.0,2015.0,"Jan,Apr,Jul,Oct",3
265,266,a,c,360,3,2014,1,9.0,2011.0,"Mar,Jun,Sept,Dec",3
266,267,c,a,2460,1,2012,0,,,,3
267,268,a,a,4520,2,2014,0,,,,3
268,269,a,c,60,6,2015,0,,,,3
269,270,a,a,1450,7,2014,0,,,,3
270,271,a,a,420,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
271,272,a,a,16180,7,2003,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
272,273,a,c,8480,-1,-1,0,,,,3
273,274,b,b,3640,-1,-1,1,10.0,2013.0,"Jan,Apr,Jul,Oct",3
274,275,d,a,300,5,2014,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
275,276,a,a,2960,10,2014,1,36.0,2013.0,"Mar,Jun,Sept,Dec",3
276,277,d,c,7840,-1,-1,1,31.0,2009.0,"Feb,May,Aug,Nov",3
277,278,a,c,9260,2,2010,0,,,,3
278,279,d,c,2320,-1,-1,1,40.0,2012.0,"Jan,Apr,Jul,Oct",3
279,280,d,c,18640,9,2013,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
280,281,d,c,6970,9,2011,0,,,,3
281,282,a,a,1220,12,2010,0,,,,3
282,283,a,a,2260,-1,-1,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
283,284,d,a,1290,-1,-1,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
284,285,a,a,2410,-1,-1,0,,,,3
285,286,a,a,1460,4,2015,0,,,,3
286,287,c,a,2740,5,2009,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
287,288,d,a,800,-1,-1,1,14.0,2011.0,"Mar,Jun,Sept,Dec",3
288,289,d,a,6540,12,2007,0,,,,3
289,290,a,a,4150,5,2001,0,,,,3
290,291,d,a,-1,-1,-1,0,,,,3
291,292,a,a,1100,6,2009,0,,,,3
292,293,c,c,140,11,2007,0,,,,3
293,294,a,a,3150,5,2005,0,,,,3
294,295,a,a,210,11,2000,1,36.0,2013.0,"Mar,Jun,Sept,Dec",3
295,296,a,a,9580,5,2007,1,45.0,2014.0,"Feb,May,Aug,Nov",3
296,297,a,a,2300,9,2010,0,,,,3
297,298,d,a,19840,7,2009,0,,,,3
298,299,d,c,38630,9,2012,0,,,,3
299,300,a,c,120,4,2009,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
300,301,a,c,4510,3,2015,0,,,,3
301,302,d,c,2190,12,2007,1,9.0,2011.0,"Mar,Jun,Sept,Dec",3
302,303,a,a,15430,11,2012,1,18.0,2011.0,"Feb,May,Aug,Nov",3
303,304,a,a,1950,7,2015,0,,,,3
304,305,c,c,2470,2,2005,1,31.0,2013.0,"Mar,Jun,Sept,Dec",3
305,306,a,a,5100,4,2007,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
306,307,a,a,18660,9,2002,0,,,,3
307,308,a,a,1070,12,2006,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
308,309,d,a,8740,-1,-1,1,37.0,2009.0,"Feb,May,Aug,Nov",3
309,310,a,c,2290,-1,-1,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
310,311,a,c,680,7,2005,0,,,,3
311,312,d,a,11300,3,2012,0,,,,3
312,313,d,c,14160,-1,-1,0,,,,3
313,314,a,a,3560,10,2001,1,31.0,2013.0,"Feb,May,Aug,Nov",3
314,315,a,c,38710,4,2013,0,,,,3
315,316,d,a,9000,8,2001,0,,,,3
316,317,d,a,3140,7,2013,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
317,318,d,c,32330,3,2014,0,,,,3
318,319,a,c,570,9,2012,1,27.0,2012.0,"Mar,Jun,Sept,Dec",3
319,320,a,c,210,9,2012,0,,,,3
320,321,c,c,8140,11,2013,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
321,322,a,a,17500,4,2001,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
322,323,d,c,8400,4,2012,1,5.0,2013.0,"Feb,May,Aug,Nov",3
323,324,a,a,13140,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
324,325,a,c,350,3,2011,1,22.0,2011.0,"Feb,May,Aug,Nov",3
325,326,d,a,10070,5,2015,1,31.0,2013.0,"Feb,May,Aug,Nov",3
326,327,c,c,1390,12,2004,0,,,,3
327,328,a,a,3130,7,2002,0,,,,3
328,329,a,a,1310,6,1990,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
329,330,a,c,370,-1,-1,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
330,331,a,c,670,-1,-1,1,14.0,2015.0,"Jan,Apr,Jul,Oct",3
331,332,a,a,1840,3,2006,0,,,,3
332,333,a,c,3720,2,2010,0,,,,3
333,334,d,c,4040,8,2008,1,18.0,2013.0,"Mar,Jun,Sept,Dec",3
334,335,b,a,90,-1,-1,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
335,336,a,a,190,7,2014,0,,,,3
336,337,d,c,10600,7,2005,1,45.0,2014.0,"Feb,May,Aug,Nov",3
337,338,a,c,1590,-1,-1,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
338,339,a,c,2280,-1,-1,1,10.0,2013.0,"Mar,Jun,Sept,Dec",3
339,340,a,c,8080,-1,-1,0,,,,3
340,341,a,a,190,9,2011,0,,,,3
341,342,d,c,15770,-1,-1,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
342,343,d,a,18650,4,2004,1,14.0,2014.0,"Jan,Apr,Jul,Oct",3
343,344,a,c,300,4,2011,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
344,345,a,a,120,-1,-1,1,22.0,2012.0,"Jan,Apr,Jul,Oct",3
345,346,a,c,8090,-1,-1,0,,,,3
346,347,d,c,9360,7,2013,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
347,348,a,a,16490,-1,-1,1,22.0,2012.0,"Jan,Apr,Jul,Oct",3
348,349,c,c,1490,4,2009,0,,,,3
349,350,d,a,8880,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
350,351,a,a,5290,11,2012,1,5.0,2013.0,"Feb,May,Aug,Nov",3
351,352,d,c,6360,-1,-1,1,40.0,2012.0,"Mar,Jun,Sept,Dec",3
352,353,b,b,900,-1,-1,1,14.0,2013.0,"Feb,May,Aug,Nov",3
353,354,d,c,1500,10,2005,0,,,,3
354,355,a,c,9720,8,2013,0,,,,3
355,356,d,c,8970,12,2007,1,22.0,2012.0,"Feb,May,Aug,Nov",3
356,357,a,a,2060,10,2008,0,,,,3
357,358,a,a,2890,10,2003,0,,,,3
358,359,d,c,4370,-1,-1,0,,,,3
359,360,a,a,2040,6,2007,0,,,,3
360,361,c,c,4490,5,2014,1,5.0,2013.0,"Feb,May,Aug,Nov",3
361,362,c,c,340,-1,-1,0,,,,3
362,363,a,a,250,9,2009,0,,,,3
363,364,a,c,13620,-1,-1,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
364,365,c,a,2410,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
365,366,d,c,6470,12,2004,0,,,,3
366,367,d,c,2640,9,2012,0,,,,3
367,368,d,c,1450,4,2005,1,45.0,2009.0,"Feb,May,Aug,Nov",3
368,369,d,c,5870,4,2014,0,,,,3
369,370,d,a,8250,10,2000,1,31.0,2009.0,"Jan,Apr,Jul,Oct",3
370,371,d,c,1970,7,2009,1,45.0,2014.0,"Feb,May,Aug,Nov",3
371,372,d,c,4880,8,2010,1,18.0,2014.0,"Jan,Apr,Jul,Oct",3
372,373,d,c,11120,-1,-1,1,22.0,2012.0,"Jan,Apr,Jul,Oct",3
373,374,a,a,1150,9,2007,0,,,,3
374,375,a,c,15710,2,2013,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
375,376,a,a,160,8,2012,0,,,,3
376,377,a,c,100,6,2010,1,18.0,2010.0,"Feb,May,Aug,Nov",3
377,378,a,c,2140,8,2012,0,,,,3
378,379,d,a,6630,-1,-1,0,,,,3
379,380,a,a,2240,5,2013,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
380,381,a,a,1800,11,2006,1,5.0,2013.0,"Feb,May,Aug,Nov",3
381,382,c,c,26130,11,2002,0,,,,3
382,383,a,c,350,-1,-1,0,,,,3
383,384,a,c,130,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
384,385,d,a,4580,9,2007,0,,,,3
385,386,d,c,1460,4,2014,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
386,387,c,a,210,-1,-1,1,36.0,2013.0,"Mar,Jun,Sept,Dec",3
387,388,a,a,2260,-1,-1,0,,,,3
388,389,a,c,6690,8,2011,0,,,,3
389,390,a,c,1600,4,2009,0,,,,3
390,391,a,a,460,11,2014,1,31.0,2013.0,"Feb,May,Aug,Nov",3
391,392,a,a,2120,-1,-1,0,,,,3
392,393,d,c,4820,3,2008,0,,,,3
393,394,d,a,10850,-1,-1,0,,,,3
394,395,a,a,3620,2,2013,0,,,,3
395,396,a,c,23130,-1,-1,0,,,,3
396,397,a,c,130,-1,-1,1,27.0,2013.0,"Feb,May,Aug,Nov",3
397,398,c,c,1540,-1,-1,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
398,399,a,a,5360,9,2012,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
